It's empty.	空空如也。
"I'll help you out, Larry ol' buddy." he says, opening his briefcase!	「我來幫你一把，賴瑞老弟。」他邊說邊打開公事包！
"Just relax. I've done this on fourteen dummies and haven't lost a one of 'em!"	「放輕鬆就好。我在十四個假人身上做過，一個都沒失手！」
"Har, har, har!!"	「哈！哈！哈！！」
What a time for you to forget those complicated seat belt instructions! Maybe you could distract this guy with something...	你偏偏在這時候忘了那複雜的安全帶說明！或許你可以想辦法分散這傢伙的注意力……
The red light indicates it's currently "Occupado."	紅燈顯示目前「使用中」。
You are not desperate enough to use the Women's restroom. Besides, some gal has been in there for hours!	你還沒絕望到要用女廁。再說，已經有個女生在裡面待了好幾個小時了！
You're not near a restroom.	你現在不在廁所附近。
"Who's there?"	「是誰啊？」
"Larry; Larry Laffer."	「賴瑞，賴瑞·拉夫。」
(You never were good at jokes!)	（你向來就不會講笑話！）
"Hello," you say to the men in the smoking area, %s	「你好，」你對吸菸區的男人們說，%s
"Hack."	「咳。」
"Cough."	「咳嗽。」
"Wheeze."	「喘。」
Puff, puff.	呼、呼。
It's still securely closed, although the safety handle is in the open position.	雖然安全把手已經扳到開啟位置，但門還是牢牢關著。
Even though the padlock is now off, the large red handle is still in the closed position.	雖然掛鎖已經拿掉了，但那個大紅把手仍在關閉位置。
There are three doors here. Two are labeled "Restroom." One is labeled "DANGER -- EMERGENCY EXIT!"	這裡有三扇門。兩扇標示「廁所」，一扇標示「危險——緊急出口！」
It's difficult to see with all the smoke back here, but you think you detect three doors at the rear of the plane!	這裡煙霧瀰漫看不太清楚，但你隱約看到機尾有三扇門！
When the light near the restroom is lit, the restroom is currently occupied.	廁所旁的燈亮著時，表示廁所目前有人使用。
The smell of stale cigarette smoke makes you fondly recall your days as a lounge lizard!	那股陳年菸味讓你懷念起當「夜店浪子」的日子！
Available at your local software dealer as "Leisure Suit Larry in the Land of the Lounge Lizards!"	各大軟體經銷商均有販售《休閒西裝賴瑞：夜店浪子樂園》！
Pick up a couple of copies today!	今天就買幾份回家吧！
Remember, those wonderful days of yesteryear are available now, at your local software dealer as "Leisure Suit Larry in the Land of the Lounge Lizards!"	記住，那段美好的往日時光，現在就在各大軟體經銷商，以《休閒西裝賴瑞：夜店浪子樂園》重現！
Be sure to pick up several copies today!	今天務必多買幾份！
The other passengers stare at you with suspicious expressions, so you slide the parachute under your coat.	其他乘客用懷疑的眼神盯著你看，於是你把降落傘塞進外套底下。
Ok. You carefully pour your bottle of highly flammable hair rejuvenator on the emergency exit's padlock. It makes the lock look really new!	好。你小心翼翼把那瓶高度易燃的生髮水倒在緊急出口的掛鎖上，讓鎖看起來閃亮如新！
You try your best to jimmy the lock with the dull cheese knife, but for naught.	你用那把鈍掉的乳酪刀拚命想撬開鎖，卻徒勞無功。
You don't have the proper equipment to do that.	你沒有合適的工具可以這麼做。
(You've heard that line before!)	（這句台詞你聽過了！）
Cleverly, you insert the bobby pin into the safety lock. (Wouldn't you guess this is against some Federal regulation?)	你機靈地把髮夾插進安全鎖裡。（你猜這大概違反了某條聯邦法規吧？）
The pin works! The door is unlocked.	髮夾奏效了！門解鎖了。
With great difficulty, you push the large red handle until you feel something tear. Crossing your legs, you shove the handle a quarter-turn to the left, until it is near the word "DANGER."	你費了好大力氣推那個大紅把手，直到感覺有什麼東西撕裂了。你雙腿夾緊，把把手往左轉了四分之一圈，轉到靠近「危險」這幾個字的位置。
A heavy, locked padlock on the handle prevents you from doing that.	把手上一個沉重的鎖頭讓你辦不到。
It IS!	就是有！
Some gal has been in that one for hours!	已經有個女生在那間裡待了好幾個小時了！
There's a large red handle preventing that.	有個大紅把手擋著，你辦不到。
"Hey, buddy," you shout, "how's 'bout givin' me one of them coffin nails?"	「嘿，老兄，」你喊道，「能不能給我一根『棺材釘』抽抽？」
(Why, Larry! You don't even smoke!)	（哎呀，賴瑞！你根本不抽菸的啊！）
You give the door a firm shove...	你用力推了一下門……
...and the blast of the airstream tears it from its hinges!	……一陣強勁的氣流猛地把門從鉸鏈上扯了下來！
You feel yourself being sucked...	你感覺自己正被吸出去……
