("Like you know" it seems obvious her elevator doesn't reach her penthouse!)	（「你知道的嘛」，很明顯她那部電梯到不了頂樓——腦筋不太靈光！）
"Like if you was a you know insect and like I was a you know flower what kind of you know insect would you like be and like what kind of flower am I?"	「就是說如果你是一隻你知道的昆蟲，然後我是一朵你知道的花，那你會想當哪種你知道的昆蟲，然後我又是哪種花？」
"Barbara," responds bachelor number one, "I'd be a beautiful butterfly and you'd be my tender little buttercup. Together, we'd build a wonderful garden of love!"	「芭芭拉，」一號單身漢回答，「我會是一隻美麗的蝴蝶，妳就是我嬌嫩的小毛茛花。我們會一起打造一座愛的花園！」
(At least his garden would be well-fertilized!)	（至少他這座花園的肥料絕對夠！）
"Like you ARE quite the charmer, aren't you, number one?" she gushes. "I'd love to sow a few seeds with you!"	「你還真是個萬人迷齁，一號？」她陶醉地說。「人家好想跟你一起播種喔！」
"Biff," she says, "MUST I like waste our time asking El Dorko this question?"	「比夫，」她說，「我真的必須把時間浪費在問這個阿呆這個問題上嗎？」
Biff responds, "Why, of course, Bachelorette Barbara. You must follow the rules!"	比夫回答：「哎呀，當然啦，芭芭拉小姐。規則就是規則，妳得遵守！」
"Ok, bore number two," she says sarcastically, "can you know even like remember the question?"	「好啦，無聊二號，」她語帶諷刺地說，「你到底記不記得你知道的那個問題啊？」
Come on, Larry. Fire your best shot!	加油，賴瑞。使出你的必殺絕招！
"Come on, El Do--, uh I mean Raguka Larry," stammers Biff Barf, "we need your answer now!"	「加油，阿呆——呃，我是說拉古卡賴瑞，」比夫·巴夫結結巴巴地說，「我們現在需要你的答案！」
"Er, um, I think, ah that is," you stumble, "%s"	「呃，嗯，我想，啊那個，」你結結巴巴地說，「%s」
"Like, what planet beamed this spook down?!" she squeaks. "I've heard better lines in a you know nursing home!"	「這是哪個星球把這個怪咖傳送下來的啦？！」她尖聲說。「我在你知道的養老院都聽過更好的台詞！」
"Well, bachelor number three," she says, "I can't you know wait to learn like what insect are you and like what flower am you know I?"	「好啦，三號單身漢，」她說，「人家你知道的等不及要知道，就是你會是什麼昆蟲，然後我又是哪種你知道的花？」
"Barbie doll, you'd be my precious American Beauty rose and I'd be your little bumblebee. I know you'd enjoy rubbing a little of your pollen on MY stinger!"	「芭比娃娃，妳會是我珍貴的美國美人玫瑰，我就是妳的小蜜蜂。我知道妳一定會喜歡把妳的花粉，抹一點在我的『螫針』上！」
(Does this show supply antacids?)	（這節目有沒有提供制酸劑啊？）
"Well, number three, we certainly are the oversexed little devil, aren't we?!" Barbara gushes.	「哎呀，三號，你還真是個色到不行的小惡魔，對吧？！」芭芭拉陶醉地說。
"Hold it right there!" interjects Biff, "I'm afraid that's all the time we have for questions today. Bachelorette Barbie: it's time for you to make your 'Dating Connection!'"	「先別急！」比夫插話，「恐怕今天的問答時間就到這裡了。芭比小姐，該是妳做出『約會連線』抉擇的時候了！」
Barbie smiles, "Well, Biff, it's really difficult to choose; both men are really terrific!"	芭比笑著說：「唉呀比夫，真的很難選耶，兩個男生都超讚的！」
(Something makes you feel the "both" doesn't include you!)	（你有種預感，這句「兩個」根本沒把你算進去！）
"Yes, but I'm sure the audience has already made its decision," says Biff.	「是啊，不過我相信現場觀眾早就有答案了，」比夫說。
"Yes," says Barbara, "and I've made my decision, you know, too."	「對啊，」芭芭拉說，「而且你知道的，我也已經決定了。」
Biff looks surprised, "Ok, bachelor TWO it is. But frankly, Bachelorette Barbara, I must admit I'm a little surprised!"	比夫一臉驚訝：「好，那就是二號單身漢了。不過老實說，芭芭拉小姐，我得承認我有點意外！」
(Did he say bachelor number TWO?)	（他剛剛是說二號單身漢嗎？）
"Barbara, I think most of us expected a different choice!" says Biff Barf.	「芭芭拉，我想我們大多數人期待的是另一個答案！」比夫·巴夫說。
"WAIT, BIFF!" shouts Barbara, "I wanted bachelor number THREE!!!"	「等一下，比夫！」芭芭拉大喊，「我要的是三號單身漢啦！！！」
"I'm sorry, Barbara," says Biff, "the rules clearly state your first decision is final."	「抱歉了，芭芭拉，」比夫說，「規則寫得很清楚，妳的第一個決定就是最終決定。」
"Let's find out what they've won!"	「讓我們來看看他們贏得了什麼獎品！」
The voiceover announcer booms, "It's a CRUISE!"	旁白主持人宏亮地喊道：「是一趟豪華郵輪之旅！」
(audience goes oooooh)	（觀眾席一陣驚呼）
"Yes, a romantic cruise of the South Pacific on the beautiful U.S.S. Love Tub."	「沒錯，搭乘美麗的『愛之浴缸號』，來一趟浪漫的南太平洋郵輪之旅。」
"You'll spend a solid MONTH together, exploring exotic ports of call courtesy of Wonder Cruise Lines."	「你們將共度整整一個月的時光，由『奇蹟郵輪』贊助，一起探索異國風情的港口。」
"Remember: if it's a good cruise, it's a Wonder!"	「記住：好郵輪，就選奇蹟！」
"And for our other contestants, why, you lucky fellows have won a year's supply of armadillo polish, twenty cases of black shoe laces, plus a copy of our home game."	「至於我們的其他參賽者，恭喜你們這些幸運兒，贏得了一年份的犰狳皮革油、二十箱黑色鞋帶，外加一份我們的居家版遊戲！」
"Hey, man! There ain't no way I'm spendin' no month on a boat with this jerk," shouts the delicate Bachelorette Barbara. "I wanna chance to hit on that number three guy!!"	「靠夭喔！我才不要跟這個混蛋在船上待一個月，」嬌滴滴的芭芭拉小姐大吼，「我要的是有機會把三號那個帥哥搞上手啦！！」
"I'm sure she's really truly delighted, folks," says Biff attempting to cover, "Now come on -- let's really hear it for our lucky couple."	「我相信她其實真的超開心的，各位，」比夫試著打圓場，「來吧——大家一起給這對幸運的情侶熱烈掌聲！」
(a smattering of applause)	（稀稀落落的掌聲）
The voiceover announcer says, "Be sure to tune in tomorrow night, same time, same station, for the finest in embarrassment programming: the all new 'Dating Connection.' Good night."	旁白主持人說：「別忘了明天同一時間、同一頻道鎖定我們，收看最棒的丟臉節目：全新一集『約會連線』。晚安。」
The control room speaker crackles, "Ok, gang, that's another one in the can! Raguka Larry, please report to the green room to receive your prizes. The rest of you just stay where you are!"	控制室的喇叭傳出沙沙聲：「好了各位，這集又收工了！拉古卡賴瑞，請到休息室領取你的獎品。其他人請原地待命！」
Gosh, Larry, what good luck you have: winning a fun-filled, month-long cruise with that lovely bachelorette Barbara!	天啊，賴瑞，你運氣也太好了：贏得跟可愛的單身女郎芭芭拉共度一個月歡樂郵輪之旅！
"Ladies and gentlemen, we've finally found him!" says the master of ceremonies. "Yes, we've found our last Lucky Life Lottery contestant of this week's show!"	「各位女士先生，我們終於找到他了！」主持人說。「沒錯，我們找到了本週『幸運人生樂透』節目的最後一位參賽者！」
"And here he is now... Mr. Larry uh," he double-checks the teleprompter, "Laffer? Yeah, Mr. Larry Laffer!"	「他現在就在這裡……賴瑞先生，呃，」他又看了一眼提詞機，「拉夫？對，是賴瑞·拉夫先生！」
(a little applause)	（零星的掌聲）
"Mr. Laffer, we don't have time for our normal introductory chit-chat. Just step right up to the wheel and give 'er a big spin!"	「拉夫先生，我們沒時間照慣例寒暄了。直接走到轉盤前，用力轉一把吧！」
Under his breath, the MC admonishes you: "(Hurry up, Laffer! We're already runnin' late because we couldn't find you!)"	主持人壓低聲音對你訓話：「（快點，拉夫！都是因為找不到你，我們已經進度落後了！）」
Nervously, you reach for the wheel, knowing full well that the pleasure of America's 3-D, graphic, animated, adventure game players is riding on the luck of your pull!	你緊張地伸手抓住轉盤，心裡清楚知道，全美 3D 圖像動畫冒險遊戲玩家的樂趣，全繫於你這一轉的運氣！
"He did it! HE DID IT! He's won the big one!!  Ladies and gentlemen, Larry Laffer just won the largest prize in the history of the Lottery -- a million dollars a year for life!!"	「他成功了！他真的成功了！他中了頭獎！！各位女士先生，賴瑞·拉夫剛剛贏得了樂透史上最大獎——終身每年一百萬美元！！」
(applause)	（掌聲）
(tons o' applause)	（如雷掌聲）
"Come on over here, Lucky Larry."	「過來這邊吧，幸運賴瑞。」
"Here comes lovely Lanna Light, the Lucky Life Lottery lady, with Larry Laffer's first year's winnings: the U. S. Treasury Department's first one million dollar bill!"	「這位是可愛的蘭娜·萊特，『幸運人生樂透』的獎金女郎，她帶來了賴瑞·拉夫第一年的獎金：美國財政部發行的第一張一百萬美元大鈔！」
"On behalf of the Lucky Life Lottery, I'm pleased to present you our Grand Prize, one million dollars!" says the MC.	「我謹代表『幸運人生樂透』，很榮幸為你獻上我們的頭獎：一百萬美元！」主持人說。
"Congratulations, Mr. Laffer," says the MC, "you're a lucky man! Too bad we don't have time for a speech!"	「恭喜你，拉夫先生，」主持人說，「你真是個幸運兒！可惜我們沒時間讓你發表感言了！」
"Let's hear it for him, ladies and gentlemen: Mr. Larry Laffer, the luckiest guy in Los Angeles!!"	「掌聲鼓勵，各位女士先生：賴瑞·拉夫先生，洛杉磯最幸運的男人！！」
(even more applause)	（更熱烈的掌聲）
The voiceover announcer says, "That's it for this week's show; be sure to tune in next time for the 'Lucky Life Lottery' show, live from Hollywood!"	旁白主持人說：「本週節目就到這裡；下次別忘了鎖定從好萊塢現場直播的『幸運人生樂透』節目！」
"Good night."	「晚安。」
The control room talkback speaker crackles, "Ok, kids, there's another one that's good enough for who it's for!"	控制室的對講喇叭傳出沙沙聲：「好啦各位，這集也算是差強人意收工了！」
"Mr. Laffer, please exit through the door to the left; there will be plenty of reporters and photographers waiting for you!"	「拉夫先生，請由左側的門離場；外面會有一大堆記者和攝影師等著你！」
Gee, Larry, things are finally beginning to go your way! First, you win a month-long ocean voyage with the lovely bachelorette, and now you win the biggest lottery prize in history.	哎呀，賴瑞，你的運氣終於開始好轉了！先是贏得跟可愛單身女郎共度一個月的海上旅程，現在又贏得史上最大樂透獎金。
(Something tells you this is too good to last!)	（你有種預感，這種好事不會持續太久！）
There's not one single cup left in the whole joint!	這整間店裡連一個杯子都不剩了！
There's only one soda cup left in the place, the speciality of the house: a "Grotesque Gulp."	這裡只剩下一個汽水杯，還是本店招牌：「駭人暢飲杯」。
GG's are legendary in the Los Angeles area -- it's the only soft drink served in a painted 32-gallon trash can!	「駭人暢飲杯」在洛杉磯地區可是傳奇——這是唯一一款用漆過的三十二加侖垃圾桶裝的汽水！
There are no more tickets available here.	這裡沒有票券了。
"You too can be rich and famous!  Play the Lucky Life Lottery game!  Luck-O Buck-O Tickets available here!"	「你也能一夕致富、名利雙收！來玩『幸運人生樂透』！這裡就能買到『樂可巴可』彩券！」
There are two machines here: a Luck-O Buck-O lottery ticket machine and a soda dispenser.	這裡有兩台機器：一台「樂可巴可」樂透彩券機，和一台汽水機。
This Quikie Mart has many items for sale. A clerk lounges sleepily behind the counter near a lottery ticket machine. There is a soda dispenser near the front window.	這間「快客超商」賣的東西琳瑯滿目。一個店員睏懶懶地靠在收銀台後面，旁邊就是彩券機。前方窗戶附近則有一台汽水機。
You try as hard as you can, but you just can't force that soda back into the nozzles!	你使出吃奶的力氣，還是沒辦法把汽水塞回噴嘴裡！
"Hey, you can't do that!" orders the clerk. "Once you pour 'em, you gotta keep 'em!"	「喂，你不能這樣做！」店員喝斥道。「倒出來了就得自己買單！」
"Sorry, pardner," says the clerk, "we're all out of Luck-O Buck-Os for this week!"	「抱歉啦，老兄，」店員說，「這禮拜的『樂可巴可』彩券已經賣光啦！」
Move closer to the clerk to buy a ticket.	靠近店員一點才能買彩券。
"May I have a free lottery ticket, please? I have no money!"	「可以給我一張免費的樂透彩券嗎？我身上沒錢！」
The clerk responds, "We ain't runnin' no charity here, cowboy. You wanna lottery ticket? You gotta pay for it."	店員回答：「我們這不是慈善機構，牛仔。想要彩券？掏錢買。」
"That'll be a buck, please," she says.	「一塊錢，謝謝，」她說。
You show your lottery ticket to the clerk.	你把樂透彩券拿給店員看。
"I donno if it's any good or not. We don't cash 'em; we just sell 'em!"	「我哪知道中沒中獎。我們只負責賣，不負責兌獎！」
Perhaps you should use the soda dispenser.	也許你該試試汽水機。
Why pay? You don't owe any money.	幹嘛付錢？你又沒欠錢。
The clerk just laughs, "Do I look like I could break a million-dollar bill?"	店員只是笑笑：「我看起來像找得開百萬美元大鈔的人嗎？」
