Good idea. This would be a perfect time!	好主意！現在正是時候！
Your thirst becomes more and more intense with every passing day. Visions of pre-Classic Coke float before your eyes!	隨著日子一天天過去，你的口渴感越來越強烈。眼前不斷浮現古早配方可樂的畫面！
You extract the Grotesque Gulp from your inside coat pocket and are surprised to discover it has retained its entire 32-gallon capacity. You now have enough fluid to last you for weeks; but you are worried about your blood sugar level!	你從西裝內袋掏出那杯「怪物暢飲杯」，驚訝地發現它竟然還裝滿整整32加侖的容量。你現在有足夠的飲料撐上好幾週；不過你有點擔心自己的血糖了！
Your hunger grows intense with the passing of the days. Visions of Danny's Pizza float before your eyes!	隨著日子一天天過去，你的飢餓感越來越強烈。眼前不斷浮現丹尼披薩的畫面！
It's a good thing you brought that spinach dip along.	幸好你帶了那罐菠菜沾醬。
You cleverly open the sewing kit you stole from that Mother's nightstand, extract a safety pin and thread. You patiently fish for hours, but eventually catch your limit.	你機靈地打開從那位「大媽」床頭櫃偷來的針線包，抽出一根安全別針和一段細線。你耐心地釣了好幾個小時，終於釣到了你的極限。
(Your limit for raw fish is quite low!)	（你能生吃的魚，其實沒幾條啊！）
You were so clever to grab that basket of fruit from the nightstand.	你真聰明，順手從床頭櫃抓走了那籃水果。
Second-degree burns from the sun are no "Laff-ing" matter, Larry!	被太陽曬成二度灼傷，賴瑞，這下連姓「拉夫」的你也笑（Laff）不出來了！
(Looks like that sunscreen is not waterproof!)	（看來那瓶防曬乳不防水啊！）
The tropical sun has turned your balded brain into an omelette cooked until Sunnyside Soft, Larry!	熱帶的豔陽把你光禿禿的腦袋煎成了一顆半熟太陽蛋，賴瑞！
Unfortunately for you, the mayonnaise has spoiled in the hot, tropical sun!	很不幸，美乃滋在炎熱的熱帶豔陽下壞掉了！
Perhaps next time you'll pack a little something to drink before beginning your trans-oceanic voyage!	也許下次跨海遠航前，你該記得帶點東西喝！
You've thought of all your needs, except food. Come on, you can find something to eat somewhere, can't you?	你把什麼都準備齊全了，就是忘了食物。拜託，你總能在哪裡找到點東西吃吧？
Better luck next cruise, Larry!	賴瑞，祝你下次郵輪之旅好運一點！
"I'm sorry, sir," says the barber sweetly, "I have no more appointments left today!"	「不好意思，先生，」理髮師甜甜地說道，「我今天已經沒有空檔了！」
"You look much better to me, sir!"	「先生，我覺得您現在看起來好多了！」
"Just have a seat in the chair there," responds the barber.	「請坐到那張椅子上吧，」理髮師回答道。
"Good day, sir," says the female barber with the long, beautiful, blond hair. "May I help you in your quest?"	「日安，先生，」擁有一頭美麗金色長髮的女理髮師說道，「我能幫上您的冒險嗎？」
"Could I just get a slight trim?" you ask. "My hair is ridiculously long!	「能不能幫我稍微修剪一下？」你問道，「我的頭髮長得誇張！
"Oh, oh!" she replies, "I'll be happy to. Just plop it in my chair there, Goldilocks, I'll take care of those curly locks for you!"	「哦，哦！」她回答道，「我很樂意。到我這張椅子上坐吧，金髮姑娘，我會好好幫你打理這頭捲髮的！」
"Gosh, please be careful," you tell her, "I'd hate to lose my full head of hair. Just take a little off the back!"	「天啊，請小心一點，」你告訴她，「我可不想失去我這頭濃密的頭髮。後面稍微修一點就好！」
"All done," says the barber. "What do you think?"	「好了，」理髮師說道，「您覺得怎麼樣？」
"MY HAIR!" you cry. "IT'S GONE!"	「我的頭髮！」你大叫，「沒了！」
She replies, "It serves you right; you should never trust a barber with longer, prettier, blonder hair than yours!"	她回答：「這是你活該；你根本不該相信一個頭髮比你更長、更漂亮、更金黃的理髮師！」
"Well, at least I look like my passport picture now," you sigh, "although that seems small consolation."	「唉，至少我現在看起來跟護照相片一樣了，」你嘆了口氣，「雖然這安慰不了我多少。」
"I'm sorry you're not satisfied," says the barber. "Here. Take a bottle of this month's special. When you have time, rub a teaspoon on your hair every day for a month. Soon your hair will be full and rich."	「很抱歉您不滿意，」理髮師說道，「來，拿一瓶這個月的特別產品。有空的話，每天在頭髮上抹一茶匙，持續一個月。很快您的頭髮就會變得濃密豐盈。」
"But be careful," she concludes, "it's highly inflammatory. %s"	「不過要小心，」她最後說道，「這東西非常易燃。%s」
You find Daventry women sexy.	你覺得達文翠（Daventry）的女人很性感。
"By the way, have you played 'King's Quest IV' yet?" asks the barber.	「對了，你玩過『國王密使 IV』了嗎？」理髮師問道。
"Why, no, I haven't," you reply. "Is it good?"	「呃，還沒耶，」你回答，「好玩嗎？」
"Well, I certainly think so," she concludes, "maybe it's just me!"	「我個人是覺得很好玩啦，」她總結道，「也許只是我自己這麼覺得而已！」
The next time you make a Molotov cocktail, why not try using a wick?!	下次做汽油彈的時候，何不試試用根引信呢？！
(No one has ever accused you of having a long fuse, Larry!)	（從沒人說過你賴瑞是個慢性子——看來你的引信也一樣短！）
The volcano eruption has interrupted your wedding plans in a most insistent manner! Perhaps this is one time you'll require outside assistance?	火山爆發用最強硬的方式打斷了你的婚禮計畫！這一次，也許你真的需要外援了？
Next time, you'd better read the label on that bottle of hair rejuvenator!	下次，你最好先看清楚那瓶生髮水的標籤！
Oops. You're dead.	哎呀，你死了。
(Don't all witch doctor huts look alike?)	（巫醫的小屋看起來不都長一個樣嗎？）
"Just a moment, Larry, while I ready this special preparation!"	「稍等一下，賴瑞，我先準備好這帖特製藥方！」
"All right, son; come on over here."	「好了，孩子，過來這邊吧。」
"Geez," you exclaim, "that's some powerful stuff!"	「天啊，」你驚呼，「這玩意兒也太猛了吧！」
"Here," says the witch doctor, "take a look in this mirror and tell me what you think."	「來，」巫醫說道，「照照這面鏡子，告訴我你覺得怎麼樣。」
"YOU DID IT! YOU REALLY DID IT!!"	「你成功了！你真的成功了！！」
"This is great! I look like a young man again; I'm stranded in paradise, broke but happy; and the most beautiful woman I've ever seen is madly in love with me!!"	「太棒了！我看起來又年輕了；我雖然身無分文卻困在天堂島上，快樂得很；還有一位我這輩子見過最美的女人，正瘋狂地愛著我！！」
"My dreams have all come true!"	「我所有的夢想都成真了！」
You have no need to return that way. Your quest lies before you. Hurry, Larry!	你不需要走回頭路。你的冒險就在前方。快點，賴瑞！
You look through the hole in the rock and see just a cloud.	你透過岩石上的洞望去，只看見一片雲。
(Why? Did you think you see something?)	（怎麼？你以為會看到什麼特別的嗎？）
Sheer cliffs drop off on both sides. For a moment you consider walking very near the edge, just to see if you can fall off. Perhaps you won't. Perhaps you can fly! Perhaps the love of the beautiful Kalalau has given you amazing, magical powers that are only activated here on this enchanted island.	兩側都是陡峭的懸崖。你一時興起，想走到邊緣看看自己會不會摔下去。也許不會摔。也許你能飛起來！也許美麗的卡拉勞的愛，賦予了你驚人的魔力，而這股魔力只有在這座被施了魔法的島上才會被喚醒。
Perhaps Kalalau's love only SEEMED to give you wings!	也許卡拉勞的愛，只是「看起來」讓你長出了翅膀而已！
You have fooled around too long! In the distance you hear a foghorn announcing the departure of your cruise ship.	你鬼混得太久了！遠方傳來霧笛聲，宣告你的郵輪已經出發。
This is the story of your life. Once again, Larry, you have "missed the boat!"	這就是你人生的寫照。賴瑞，你又一次「錯過了船」！
You're getting off to a slow start, Larry. Perhaps you should dig out the documentation that came with this game and read through the Walk-Thru that begins on page 12.	賴瑞，你這開頭也太慢了吧。也許你該把遊戲附的說明書挖出來，翻到第12頁開始的攻略指南看看。
(This is merely a friendly suggestion from your designer and programmer, Al Lowe.)	（這只是你的設計師兼程式設計師艾爾·洛威（Al Lowe）給你的一句友善建議。）
No one here is interested in talking to you.	這裡沒人想跟你說話。
You scratch it until you remove the numbers and invalidate it. Since it's no good now, you toss it away!	你把上面的數字刮掉，讓它失效。既然已經沒用了，你就把它扔了！
There's no need. No sun can pierce that smoggy sky.	沒這個必要。這片霧霾瀰漫的天空，陽光根本穿不透。
There are no taxis in this "Leisure Suit Larry."	這款《休閒西裝賴瑞》裡沒有計程車。
During a Stage III smog alert, breathing is optional (although still permitted).	在第三級霧霾警報期間，呼吸是「非必要」的（不過還是被允許的）。
Formerly, you thought LA was filled with cars.	你以前一直以為洛杉磯滿街都是車子。
It just lies there under your feet.	它就靜靜躺在你腳下。
Is this whole city paved?	這整座城市都是柏油路嗎？
All the plants here are made of poly-vinyl chloride or another monoxide-breathing substance.	這裡的植物全都是聚氯乙烯或其他會「呼吸」一氧化碳的物質做成的。
The ship's PA system crackles to life, "We are sorry, ladies and gentlemen, but due to unknown reasons our lifeboats have inadvertently been lowered into the water. We regret this inconvenience."	船上的廣播系統劈啪作響，傳來廣播：「各位女士先生，很抱歉，由於不明原因，我們的救生艇已不慎被放入水中。造成不便，敬請見諒。」
You just missed your last chance at escape!	你剛剛錯過了最後的逃生機會！
The next time you start something, you'd better be prepared to finish it!	下次開始做什麼事之前，你最好先做好把它做完的準備！
Ok. You feel refreshed, but fruitless.	好的。你感覺神清氣爽，但一無所獲。
Ok. You rapidly glom down a quart of spinach dip and a whole loaf of sourdough bread.	好的。你迅速地把一夸脫的菠菜沾醬和一整條酸麵包給嗑光了。
You have nothing which needs mending.	你沒有任何東西需要縫補。
You apply the sunscreen to your neck and hands.	你把防曬乳擦在脖子和雙手上。
You are clever to reapply the sunscreen after your swim washed it off!	你真聰明，游泳把防曬乳沖掉後，還記得補擦！
Ok. You carefully rub the sunscreen over every exposed part of your body.	好的。你仔細地把防曬乳抹遍全身每一寸裸露的肌膚。
You look to sea to see what you can see, but soon you see that all you can see is sea.	你望向大海想看看能看見什麼，但很快就發現，能看見的只有一片汪洋。
The bright tropical sun smiles down from an azure sky. Ah! There's nothing like a sea voyage to freshen the lungs of a lounge lizard!	燦爛的熱帶陽光從蔚藍的天空中露出笑容。啊！沒有什麼比一趟海上航行更能讓一個浪蕩子神清氣爽的了！
Everyone here ALSO has a better tan than you, Larry.	這裡每個人的膚色也都曬得比你更漂亮，賴瑞。
Sway.	搖晃。
You're already clean.	你已經很乾淨了。
