"Here's to ya," you say to no one in particular.	你對著空氣說：「敬你啦。」
This resort has lovely landscaping, but it's so dense that you cannot find anything. You wander about aimlessly, searching for a break in the vegetation to return you to civilization!	這座度假村的景觀造景相當漂亮，但茂密到讓你什麼都找不著。你漫無目的地四處遊蕩，想找個植被的縫隙，好回到文明世界！
He's not interested in talk.	他沒興趣跟你聊天。
Sit back; relax; enjoy.	坐下來，放輕鬆，好好享受。
You have all the nuts you need for this game.	這場遊戲你需要的堅果都已經齊了。
That won't help you.	那樣對你沒有幫助。
Ok. Let's see if we can find a shortcut!	好。來看看能不能找到捷徑！
Sorry; maybe next time!	抱歉，下次再說吧！
You reach over and break off the beautiful flower at its base. "Aw," you rationalize, "they'll never miss just one flower!"	你伸手把那朵美麗的花從根部折斷。「唉呀，」你自我安慰道，「少一朵花他們才不會發現呢！」
Say, you're getting faster at this!	嘿，你這方面越來越上手了嘛！
At last you find an exit.	你終於找到一個出口。
(But where does it lead?)	（但這通往哪裡呢？）
Why, here you are back at the beach!	哎呀，你又回到海灘上了！
Why, you've found a lovely restaurant!	哎呀，你找到一間很棒的餐廳了！
Why, you've found an empty guest room!	哎呀，你找到一間空房了！
Why, you've found the resort's barber shop!	哎呀，你找到度假村的理髮廳了！
You quickly seduce the beautiful, naked woman, then head for the resort parking lot where she leaves her personal helicopter. A short, romantic, low-altitude chopper ride across the South Pacific is followed by...	你迅速勾引了這位美麗的裸女，接著前往度假村停車場，她的私人直升機就停在那裡。一段短暫、浪漫、低空飛越南太平洋的直升機之旅過後……
Suddenly, you start to perspire!	你突然開始冒汗！
(blush)	（臉紅）
The large, straight trunk rises high into the sky above the beautiful sand beach.	粗大筆直的樹幹，高聳直入美麗沙灘上方的天空。
(Or is that the guy with the good tan?)	（還是說那是那個曬得一身古銅色的傢伙？）
They effectively prevent you from joining the "beautiful people."	它們有效地阻止了你加入那些「美麗人士」的行列。
There's a discarded bikini bottom lying that rock at the eastern edge of the sand.	沙灘東側的岩石上，扔著一件被丟棄的比基尼下身。
Say! These people have no clothes on! What kind of place is this, anyway?	嘿！這些人都沒穿衣服耶！這到底是什麼地方啊？
She needs it.	她需要這個。
"Hi ya, baby," you tell her. %s	「嗨，寶貝，」你對她說。%s
There's already enough skin visible here!	這裡露出來的皮膚已經夠多了！
Try that elsewhere.	換個地方試試看吧。
