...out, unfortunately!	……很不幸，掉了出來！
Although you often have fun by just hanging around, this time you'd prefer to cut yourself down.	雖然你平常也很愛「掛」在那邊耍廢，但這次你寧可把自己割下來。
That's what you get for buying a parachute from a vending machine!	這就是跟自動販賣機買降落傘的下場！
You saw away at the parachute harness with the dull cheese knife, eventually turning it into a mere thread supporting your entire body weight. Suddenly, you look down, and consider the consequences of falling to the jungle floor from this height!	你拿那把鈍掉的乳酪刀，一下一下鋸著降落傘背帶，最後只剩一條細絲撐著你整個人的重量。你突然低頭一看，開始盤算從這個高度摔到叢林地面會是什麼下場！
But you don't consider it for long...	不過你沒盤算太久……
The jungle floor is shrouded in darkness and covered with a viscous substance that you presume passes for dirt around here.	叢林地面籠罩在一片黑暗中，覆蓋著一層黏稠的東西，你猜這裡大概就把它當泥土看待。
There is a stout stick lying under the tree. You feel fortunate you did not land on it!	樹下躺著一根粗壯的樹枝。你慶幸自己沒有正好摔在它上面！
There might be a way out of here near that bush.	那叢灌木附近說不定有出路。
It looks like a prehistoric Al Lowe!	看起來像是史前版的艾爾·洛威！
There are some bees resting on that bush over there.	那邊的灌木叢上停著一些蜜蜂。
The swarm of bees are just resting on a branch of a bush. You remember reading something about a new strain of bees from this area.	這群蜜蜂正停在灌木的枝條上休息。你記得曾經讀過關於這一帶新品種蜜蜂的報導。
It's like a jungle in here.	這裡簡直就像叢林一樣。
Could that be because you're stranded in the middle of a jungle on a tropical island?!	該不會是因為你正困在熱帶島嶼的叢林正中央吧？！
The ground here is unusually spongy.	這裡的地面異常鬆軟。
You can never tell when a nice, stout stick like this one will come in handy!	你永遠不知道像這樣一根粗壯的好樹枝什麼時候會派上用場！
You must be joking!	你該不會在開玩笑吧！
That wouldn't help.	那樣沒有用。
Jumping won't help you now.	現在跳也沒用。
But first, move a little closer to the bush.	不過得先靠近那叢灌木一點。
The trees can't help you here.	這裡的樹幫不了你。
Nah, you'd just wind up out on a limb again!	不用了，你只會又「懸」在樹上而已！
That won't help here.	這裡那樣做沒有用。
Unghhh!	唔啊！
A fall like that would be enough to break the average man's onklunk! Careful examination of yours reveals severe damage: the delicate instrument was smashed by the fall! You discard it here without learning of its dangerous cargo, nor realizing you have inadvertently kept the world's most valuable secret from falling into enemy hands!	這麼一摔，足以摔壞一般人的翁克朗！仔細檢查你的翁克朗才發現，這個精密儀器摔壞了，損傷嚴重！你就這樣把它丟在這裡，始終不知道裡頭裝著危險的貨物，也沒意識到自己無意間阻止了全世界最珍貴的秘密落入敵人手中！
Oops! You just brushed a bush containing a resting swarm of killer bees. You are frozen in fear! Could the rumors of their incredible strength really be true?	糟了！你剛剛碰到一叢裡頭停著殺人蜂群的灌木。你嚇得動彈不得！難道傳說中牠們驚人的戰鬥力是真的？
Yep.	沒錯。
Perhaps you'll enjoy your new life as the Queen Bee's personal love slave...	或許你會愛上當蜂后的私人愛奴這種新生活……
...nah. No way!	……算了吧，門都沒有！
You carefully lower yourself to the slimy ground and attempt to make your way past the dangerous swarm of killer bees!	你小心翼翼地降到黏膩的地面上，試圖從危險的殺人蜂群旁邊溜過去！
You made it. Again!	你成功了，又一次！
You successfully avoid the dangerous killer bees.	你成功躲開了危險的殺人蜂。
Once again, you lower yourself to the jungle floor and hope you can slide your way below the dangerous swarm of killer bees!	你再次降到叢林地面上，希望能從危險的殺人蜂群下方溜過去！
He walks!	牠會走路！
He talks!	牠會說話！
He wriggles on his belly like a reptile!	牠像爬蟲類一樣用肚子扭動前進！
You carefully prepare yourself for the oncoming jaws with the stick. Will it work?	你拿著樹枝，小心翼翼地準備迎戰即將撲來的血盆大口。這招管用嗎？
A good idea, but this is not the place.	好主意，不過這裡不是時候。
You're close, but the stick is not heavy enough to harm the anaconda.	差一點了，不過這根樹枝不夠重，傷不了森蚺。
You are mad enough to do that, but that's not the solution to your predicament.	你是氣到想這麼做沒錯，但這解決不了你的困境。
Good idea, but that would just give the snake even more advantage. Just stick to using your brain.	好主意，不過那樣只會讓蛇更佔上風。還是用你的腦袋吧。
There are no more snakes around.	附近已經沒有蛇了。
There may be some movement in that center bush.	中間那叢灌木裡好像有動靜。
This part of the jungle floor seems even more soft and mushy.	這一帶的叢林地面看起來又更軟又更爛。
It looks like a prehistoric punk rocker!	看起來像是史前版的龐克搖滾客！
There are no more snakes in this area.	這一帶已經沒有蛇了。
A giant anaconda lies waiting for you, coiled around a branch directly above the only exit from this part of the jungle.	一條巨大的森蚺盤在樹枝上等著你，正好擋在這片叢林唯一出口的正上方。
The jungle is dense and dark. High above you, monkeys dance through the treetops.	叢林濃密陰暗。頭頂高處，猴子在樹梢間跳來跳去。
A snake is in the process of devouring you!	一條蛇正在把你活活吞下去！
You just attracted the attention of that giant anaconda by walking beneath his waiting coils. Perhaps if you hold very still he won't notice you!	你走到那條巨大森蚺盤伏的枝條下方，引起了牠的注意。要是你一動也不動，說不定牠不會發現你！
Ok, so he DID notice you! Perhaps he just finished a big meal and couldn't eat another bite!	好吧，牠的確發現你了！或許牠剛吃飽，再也吃不下了！
Then again, perhaps he relishes the taste of polyester!	不過話說回來，牠說不定很愛聚酯纖維的味道！
You feel you could have eventually escaped his coils if there was only some way to keep him from swallowing you.	你覺得只要有辦法讓牠不把你吞下去，你終究能掙脫牠的纏繞。
As the snake dislocates its lower jaw in preparation for another hearty, cholesterol-laden dinner of red meat and polyester, you carefully insert your stick into the distended opening!	就在這條蛇卸下下顎，準備享用一頓豐盛、高膽固醇的紅肉加聚酯纖維大餐時，你小心翼翼地把樹枝插進牠張大的嘴裡！
The snake, unable to remove the stick from its jaws and embarrassed by being humiliated before the other jungle creatures, slithers away through the undergrowth to its lair (and an early retirement).	這條蛇沒辦法把樹枝從嘴裡弄出來，在其他叢林生物面前顏面盡失，只好灰溜溜地鑽進草叢，滑回自己的巢穴（順便提早退休）。
You made it!	你成功了！
The vines here are too high for you to reach.	這裡的藤蔓太高了，你搆不到。
That won't help you here.	這裡那樣做沒用。
The rocks are not the path to your success.	這些石頭不是通往成功的路。
Funny. He has no trouble whatsoever walking across this area.	真奇怪，牠走過這一帶完全沒問題。
The trees here can't help you. You're going to have to plod through this one on your own.	這裡的樹幫不了你。你得靠自己一步一步走過去。
The patterned area looks different from the rest of the ground here.	那塊有花紋的地方，看起來跟這裡其他地面不太一樣。
It looks prepared to suck.	看起來就準備要把人吸進去。
The ground here has a strange pattern to it.	這裡的地面有種奇怪的花紋。
The jungle floor is soft and sticky here.	這裡的叢林地面又軟又黏。
(You fondly recall your first car's seat covers.)	（你懷念地想起自己第一輛車的椅套。）
At least this quicksand is nice and soft.	至少這片流沙又軟又舒服。
Once again, you're in over your head, Larry!	賴瑞，你又一次深陷其中了！
In the future, you must be more observant!	以後你可得更留意才行！
The bank here is too steep and slippery for you to climb out.	這裡的岸邊又陡又滑，你爬不上去。
Don't go that way, Larry! There's no game over there!!	別往那邊走，賴瑞！那邊沒有遊戲內容！！
The ocean appears to be just beyond that clump of trees near the beach.	海洋看起來就在海灘旁那叢樹的另一頭。
A swift river cascades down from the island's volcano behind the jungle, splashing its way over some extremely dangerous rapids before becoming more placid and tranquil here in the jungle.	一條湍急的河流從叢林後方的島上火山傾瀉而下，飛濺著流過幾處極其危險的激流，才在叢林這裡變得平緩寧靜。
You can only see a few vague shapes from here.	從這裡你只能看到幾個模糊的形狀。
