You open the bottle of hair rejuvenator and pour it onto the ground by your feet.	你打開生髮水的瓶子，把它倒在你腳邊的地上。
As you start to push the "Close Door" button, you notice there is no "Close Door" button inside this elevator.	你正要按下「關門」按鈕時，才發現這台電梯裡根本沒有「關門」按鈕。
Say! There are no buttons at all inside this elevator.	咦！這台電梯裡根本一個按鈕都沒有。
In fact, there's not even a floor!	事實上，連地板都沒有！
Bad idea.	壞主意。
You open the bottle of hair rejuvenator, light one of your matches, then drop it inside.	你打開生髮水瓶，點燃一根火柴，然後丟進瓶裡。
You wonder to yourself, "Is that a disk drive I hear?"	你心裡嘀咕：「那是磁碟機的聲音嗎？」
It finally reaches bottom and breaks harmlessly on the jagged rocks, making quite a mess but accomplishing nothing.	它最終落到底部，在嶙峋的岩石上摔得粉碎，弄得一團亂，卻什麼也沒達成。
You just threw away the only hope you had of saving this island from the evil Doctor!	你剛剛把拯救這座島、擺脫邪惡博士的唯一希望給扔掉了！
Once again, Larry, you're getting the shaft!	唉，賴瑞，你又被整了！
As you plummet through the darkness of the elevator shaft, the evil Dr. Nonookee is enjoying another blissful evening at home, singing jazz standards with his backup singers, the Henchettes, at his personal piano bar...	就在你墜入電梯井的黑暗深處時，邪惡的諾努基博士正在家裡享受又一個愜意的夜晚，和他的伴唱「打手女郎」們在自家的鋼琴酒吧裡高唱爵士經典……
"Peelings..."	「剝皮之情……」
"Nothing more than..."	「不過如此……」
Suddenly, you explode from the elevator shaft onto the scene...	突然間，你從電梯井裡爆衝而出，出現在現場……
Staggering to your feet, you inadvertently slap a fast low-five on that hand extending from the wall. Oh, oh! You've discovered the secret activator for the fortress' Peacemaker Self-Defense Control Panel!	你踉蹌站起身，不小心和牆上伸出的那隻手擊了個掌。糟了糟了！你剛剛觸發了要塞「和平使者」自衛控制台的秘密啟動開關！
Struggling to regain your balance, you fall onto the "Auto-Fire" button.	你努力想站穩，卻一屁股跌坐在「自動開火」按鈕上。
"STOP!" screams Dr. Nonookee.	「住手！」諾努基博士尖叫道。
(But, it's too late!)	（但是，已經太遲了！）
A laser beam strikes the large, Italian marble column near the grand piano!	一道雷射光束擊中了大鋼琴旁那根巨大的義大利大理石柱！
You did it! You did it, Larry!! You destroyed the evil Dr. Nonookee!!	你成功了！你成功了，賴瑞！！你消滅了邪惡的諾努基博士！！
Remembering that Dr. Nonookee kidnapped and hypnotized the island's innocent native women, you realize you must break his spell before they can return to the village. "Snap out of it, girls! He's gone forever! Never again will you be forced to do his evil deeds. You are free to return to your native selves."	你想起諾努基博士綁架並催眠了島上無辜的原住民女子，你知道必須先解除他的咒語，她們才能回到村莊。「醒醒吧，姑娘們！他永遠消失了！再也沒有人能逼你們做他那些邪惡的勾當。你們自由了，可以做回原本的自己。」
"On the count of three, you will awaken refreshed and able to remember everything that's happened to you."	「數到三，你們就會神清氣爽地醒來，並且記得發生過的一切。」
"One, two, THREE," you shout, snapping your fingers.	「一、二、三！」你大喊一聲，同時打了個響指。
Freed at last from the hypnotic trance of the evil Doctor, the women liberate themselves, resuming their native ways.	終於擺脫邪惡博士的催眠術，女人們解放了自己，恢復了原本的生活方式。
"Huzzah! Huzzah!!" they shout. "It's Larry; Larry Laffer -- OUR HERO!"	「萬歲！萬歲！！」她們高喊。「是賴瑞，賴瑞·拉夫──我們的英雄！」
You interrupt their celebration with, "It's nice of you to say so, but we must leave here immediately. I had to force the elevator door by dropping a bomb into the volcano and I'm afraid it may erupt at any moment! Where's the radio-telephone?"	你打斷她們的慶祝：「妳們這麼說真好，但我們得馬上離開這裡。我剛剛往火山裡丟了顆炸彈才強行打開電梯門，恐怕火山隨時會爆發！無線電話在哪裡？」
"It's right behind you!"	「就在你後面！」
"Oh," you counter. "I knew that."	「喔，」你回嘴，「我早就知道了。」
You grab the telephone and press the big "talk" button...	你抓起電話，按下那顆大大的「通話」按鈕……
"MAYDAY! MAYDAY! This is the Big Laffer calling. Kin I git a copy offn any good buddy?"	「求救！求救！這裡是『大拉夫』在叫，有沒有哪位兄弟聽到，收到請回答？」
(You often slip back into the 70's without even trying!)	（你常常不知不覺就切換回七零年代的調調！）
Catching yourself, you continue, "I'm inside Nontoonyt Island's volcano; in a fortress hollowed out of solid rock and filled with beautiful, over-sexed women recently stripped to the waist; I've just killed a maniacal, power-hungry, money-grubbing scientist who was trying to grab my onklunk; a few minutes ago, I dropped a homemade bomb into a crevice that will cause the volcano to erupt!"	你回過神，繼續說：「我人在諾圖尼特島的火山裡，在一座掏空堅石打造的要塞裡，裡頭全是剛被扒光上身、性慾旺盛的正妹；我剛殺了一個瘋狂、貪權又愛錢的科學家，他一直想搶我的『昂克棍』；幾分鐘前，我把一顆自製炸彈丟進裂縫，這下火山就要爆發了！」
(Do you realize how stupid you sound?)	（你知道自己聽起來有多蠢嗎？）
"Is anybody listening? Over."	「有人在聽嗎？收到請回答。」
"Hiss."	「滋滋。」
"Crackle."	「劈啪。」
"Pop."	「啪。」
(You almost receive a breakfast cereal commercial.)	（你差點收到一則早餐穀片廣告。）
"Roger, Big Laffer. We copy. What kind of help do you need? Over."	「收到，大拉夫。我們聽到了。你需要什麼樣的協助？請回答。」
"Hey, who is this? Are you nearby? Can you come immediately? Over."	「嘿，你是哪位？你在附近嗎？可以馬上過來嗎？請回答。」
"This is Duane Barker of 'Software Illustrated' magazine. We're right below you on the beach at Nontoonyt Island, shooting our annual swimsuit issue! We'll be glad to fly up in our helicopter to rescue you!"	「這裡是『軟體畫報』雜誌的杜恩·巴克。我們就在你下方，諾圖尼特島的沙灘上，正在拍我們的年度泳裝特輯！我們很樂意開直升機上去救你！」
"Is there any way you could create some sort of signal to let me know where you are? Over."	「你有沒有辦法弄個什麼信號，讓我知道你的位置？請回答。」
You glance at the large computer panel to your right. "How about if I have some palm trees emit a cloud of fog to surround the island, then turn off the island's main waterfall, and open a gigantic hanger door in the side of the volcano? Over."	你瞥了一眼右邊那個大型電腦控制台。「不如我讓幾棵棕櫚樹噴出一片霧氣籠罩全島，再關掉島上的主瀑布，然後在火山側面打開一扇巨大的機棚門，這樣如何？請回答。」
"Yeah, I guess that ought to do it," he replies. "See you in two minutes. Over and out."	「嗯，我想這樣應該夠了，」他回答。「兩分鐘後見。通話結束。」
"Over and out, good buddy."	「通話結束，好兄弟。」
You have a little trouble deciphering the control panel for the island's camouflage system. "Anybody know how to work this fog machine?" you ask.	你在破解島嶼偽裝系統的控制台時遇到了點麻煩。「有誰知道這台霧化機怎麼操作嗎？」你問道。
Oh, what the hell; pushing everything at least once couldn't hurt!	管他的，每個按鈕都按一次總不會有事吧！
"Oh, great hero of our island," says one of the women, "come over here. Allow us to give you a proper, triumphant return to our people!"	「喔，我們島上的偉大英雄，」其中一位女子說，「過來這邊。讓我們好好為你辦一場凱旋歸來的儀式！」
"Say, aren't you coming with us?" you ask the pianist.	「欸，妳不跟我們一起走嗎？」你問那位鋼琴師。
"Of course not," she replies, "I don't really have a part here, I'm just the piano player. But, allow me to introduce myself...."	「當然不了，」她回答，「我在這裡其實沒什麼戲份，我只是彈鋼琴的。不過，容我自我介紹一下……」
"My name is Patty," she says, "'Polyester Patty,' the internationally-renowned recording artist and queen of the women's singles scene. You'll want to watch for me in 'Leisure Suit Larry III!!'"	「我叫佩蒂，」她說，「『滌綸佩蒂』，享譽國際的錄音藝人，女子單身歌壇的女王。敬請期待我在『休閒西裝賴瑞3』裡登場！！」
(You ignore this blatant plug.)	（你無視這赤裸裸的置入性行銷。）
"Come on girls," you command, "to the chopper... and my destiny!"	「來吧，姑娘們，」你下令道，「上直升機……迎向我的命運！」
"Hey, watch out!"	「嘿，小心點！」
"Clumsy!!"	「笨手笨腳！！」
"You dropped him!!!"	「妳把他摔下去了！！！」
Meanwhile, outside...	與此同時，外頭……
"Thanks a lot for dropping me down the stairs!" you cry to the native women. "Hurry and get in the helicopter!"	「謝謝妳們把我摔下樓梯啊！」你對原住民女子們大喊。「快點上直升機！」
"No, thanks," they yell down the stairs, "we'll use the back door and take our chances with the glacier!"	「不了，謝謝，」她們朝樓梯下喊道，「我們要走後門，去碰碰運氣試試冰川！」
"Come on, Big Laffer," says the pilot. "Climb aboard!"	「來吧，大拉夫，」飛行員說。「上來吧！」
"Sorry, I had a little trouble with that fog machine!" you tell him.	「抱歉，那台霧化機讓我費了點功夫！」你對他說。
As we leave our hero, cavorting in the sand with his new love, we ask ourselves the burning question...	就在我們的英雄和他的新歡在沙灘上嬉鬧之際，我們不禁要問自己一個燃眉之問……
Is women's lib really dead?	婦女解放運動真的已經死了嗎？
Is there still a feminist movement?	女性主義運動還存在嗎？
Is there a market for "Polyester Patty in Pursuit of the Pulsating Pectorals?"	《滌綸佩蒂追逐悸動的胸肌》這種片還有市場嗎？
...or will Al Lowe have to write yet another of these Silly Sin-phonies?	……還是艾爾·羅威又得再寫一部這種胡鬧的「罪孽交響曲」？
"Eve, baby," you greet your woman with love in your voice, "you're finally home! I've been worried sick about you."	「伊芙，寶貝，」你用充滿愛意的聲音向你的女人打招呼，「妳終於回家了！我擔心死了。」
"Who are you?" asks the voluptuous woman in the the magnificent red sports car. "And, why are you mowing my lawn?"	「你是誰啊？」坐在那輛華麗紅色跑車裡的性感女子問道。「還有，你為什麼在割我家的草坪？」
"Why, Eve! Don't you remember me? It's me, Larry; Larry Laffer!"	「咦，伊芙！妳不記得我了嗎？是我啊，賴瑞，賴瑞·拉夫！」
"We met in that hot tub in Lost Wages... in your luxury penthouse apartment... in "The Land of the Lounge Lizards..." just before my big finale (wink, wink)... at the end of the game, remember?"	「我們在『失落賭城』的按摩浴缸裡認識的……在妳那間豪華頂樓公寓裡……在『沙龍蜥蜴之地』裡……就在我的『壓軸大戲』之前（眨眨眼）……在遊戲結尾的時候，記得嗎？」
"Vaguely," she says. "So why are you here?"	「有點印象，」她說。「所以你來這裡幹嘛？」
"Why, I, er, ah, that is," you stammer, "why, I just kinda assumed when two people are as deeply in love as we are, uh, er, the natural thing to do to move in together, and, so here I am..."	「這個嘛，呃，啊，那個，」你結結巴巴地說，「就是，我想說兩個人像我們這樣深深相愛，呃，那個，自然而然就會想要搬去同住，所以我就……來了……」
"Move in?! You creep! You've got exactly five minutes to get everything out of my house, and out of my life."	「搬進來？！你這個變態！給你整整五分鐘，把你的東西全部搬出我家，也滾出我的人生。」
"Brutus," she commands her dog, "ON GUARD!"	「布魯特斯，」她命令她的狗，「攻擊！」
"Hmm," you think to yourself, "that dog looks rather familiar."	「嗯，」你心裡想著，「那隻狗看起來有點眼熟。」
"I'll be back here in five minutes," Eve shouts, "and you WON'T!!"	「我五分鐘後就回來，」伊芙大喊，「而你最好『不』要還在這裡！！」
(Sigh.)	（嘆氣。）
Gee, Larry; looks like things are just the way they used to be. You thought your life was complete: you had found true love with a beautiful woman, with a beautiful car and a beautiful home, all in beautiful Los Angeles...	唉，賴瑞，看來一切又回到了老樣子。你原以為自己的人生已經圓滿：你找到了真愛，有個美麗的女人、一輛漂亮的車、一棟漂亮的房子，通通都在美麗的洛杉磯……
...but instead, you're out on the streets again!	……結果你又被掃地出門，流落街頭了！
What will you do?	你該怎麼辦呢？
Meanwhile, on the beautiful tropical island paradise of Nontoonyt Island, located somewhere in the South Pacific, a formerly strange weather phenomenon occurs once again.	與此同時，在南太平洋某處那座美麗的熱帶島嶼天堂──諾圖尼特島上，先前那個詭異的氣候現象又再度出現。
