They are presently feasting. Looks like dinner is on you, Larry!	牠們正在享用大餐。看來這頓晚餐的主菜就是你，賴瑞！
In the background, you can hear strains of old Olivia Newton-John tapes.	背景隱約傳來奧莉薇亞·紐頓強老歌卡帶的旋律。
It would be better if you stayed out.	你還是別進去比較好。
All of the village is gathered for this profound occasion. You and your beloved stride across the compound to wait the arrival of the chief.	全村的人都聚集在這個重要的場合。你和心愛的人一同大步走過廣場，等候酋長到來。
"Oh, Daddy!" shouts Kalalau, "please come out. There is someone here I would like you to meet!"	「喔，爸爸！」卡拉勞喊道，「快出來，我要介紹一個人給你認識！」
"Father, this is Larry; Larry Laffer," says Kalalau. "We are in love, and wish to marry!"	「爸爸，這位是賴瑞，賴瑞·拉夫，」卡拉勞說。「我們相愛了，想要結婚！」
"So you want to marry my daughter?" says Chief Keneewauwau, staring straight to the back of your skull. "No one is worthy of her hand, unless he can prove himself a real man!"	「所以你想娶我女兒？」凱尼瓦瓦酋長說，眼神銳利得彷彿要看穿你的後腦勺。「除非能證明自己是個真正的男子漢，否則沒人配得上她！」
"Oh, I'll do anything for the woman I love, sir," you tell him. "No sacrifice is too great!"	「喔，我願意為我愛的女人做任何事，長官，」你對他說。「再大的犧牲我都在所不惜！」
"So be it," he says softly. Then in a more commanding tone, "Enter the sacrificial hut and bring forth the Sacred Peesea!"	「那就這樣吧，」他輕聲說道。接著語氣一轉，威嚴地下令：「進入獻祭小屋，把神聖的『皮西』請出來！」
(villagers go ooooooh)	（村民們發出「喔喔喔」的驚呼）
"Young man, sit before the Mighty Peesea! Prove your manhood by becoming its master and you will pass part one of this initiation to our tribe!"	「年輕人，坐到偉大的皮西面前！證明你的男子氣概、成為它的主人，你就能通過我們部落成年禮的第一關！」
"But what is it I'm supposed to do?" you ask.	「可是我到底該做什麼？」你問道。
"Write a short program," he commands. "Any subject or topic, any length..."	「寫一支短程式，」他下令道。「任何主題、任何長度都行……」
"No problem," you think, "any good adventurer could do that!"	「小事一樁，」你心想，「隨便一個像樣的冒險者都做得到！」
"...as long as it's in assembly language!" he smiles, confident in the certainty of your failure!	「……只要是用組合語言寫的！」他微笑著，篤定你必定會失敗！
(villagers gasp)	（村民們倒抽一口氣）
With your heart in your throat you approach their sacred relic. "Is it least significant byte first?" you wonder.	你心跳到喉嚨口，走向他們的神聖聖物。「這是低位元組在前嗎？」你納悶著。
INT     21 JB      0103 	INT     21 JB      0103 
MOV     AH,4D INT     21 CS: 	MOV     AH,4D INT     21 CS: 
MOV     [0BEA],AX JMP     02B2 JMP     1451 	MOV     [0BEA],AX JMP     02B2 JMP     1451 
CS: TEST    BYTE PTR [0C59],01 JZ      0150 	CS: TEST    BYTE PTR [0C59],01 JZ      0150 
CS: TEST    BYTE PTR [0C59],02 JZ      014F IRET 	CS: TEST    BYTE PTR [0C59],02 JZ      014F IRET 
TEST    BYTE PTR [0C59],04 JZ      0169 CMP     AH,01 JA      014F 	TEST    BYTE PTR [0C59],04 JZ      0169 CMP     AH,01 JA      014F 
"Ok, all ready for Quality Assurance," you announce.	「好了，準備好接受品管驗收了，」你宣布道。
"What did you write?" asks Chief Keneewauwau.	「你寫了什麼？」凱尼瓦瓦酋長問道。
"A complete, multitasking, multiuser operating system that only runs on 8088 CPUs," you respond.	「一套完整的多工、多使用者作業系統，只能在8088處理器上執行，」你回答道。
"Excellent. And do you have a name for this product?" asks Chief Keneewauwau.	「很好。這個產品有名字嗎？」凱尼瓦瓦酋長問道。
"Why, Eunuchs, of course!"	「當然是『閹尼克斯』啊！」
"Perfect," says the Chief Keneewauwau, "I'll tighten up your code later. Now follow me, and I'll lead you to the secret path: the way known only to card-carrying villagers, the path that will lead you to the sacred burial grounds of our ancestors, the one and only way to the top of Nontoonyt Volcano."	「太好了，」凱尼瓦瓦酋長說，「你的程式碼我晚點再幫你優化。現在跟我來，我帶你走一條秘密小徑：只有持有身分證的村民才知道的路，這條路會帶你前往我們祖先的神聖墓地，也是唯一一條通往農圖尼特火山頂端的路。」
"Rid this island of the evil Dr. Nonookee and Kalalau will be your wife!"	「替這座島除掉邪惡的諾努基博士，卡拉勞就是你的妻子了！」
(villagers go aaaahhhh)	（村民們發出「啊啊啊」的讚嘆）
The village campfire has burned down to just a few cool ashes.	村莊的營火已經燒盡，只剩下幾撮冷卻的灰燼。
Some ashes might come in handy later in the game.	有些灰燼在遊戲後面也許派得上用場。
There are only a few left; not enough to worry about!	只剩下一點點了，不用擔心！
The campfire made lots of ashes.	營火燒出了大量灰燼。
The huts are filled with the joy of aerobics. Don't disturb them.	小屋裡充滿了有氧運動的歡樂氣息，別去打擾他們。
You bend over the firepit and scoop up huge handfuls of ashes, completely filling all of your pockets with them!	你彎腰蹲在火坑邊，抓起一大把又一大把的灰燼，把口袋全部塞滿了！
"Attention, please!" cries Kalalau. "Gather all the villagers before the Chief's hut. We must have a celebration."	「請大家注意！」卡拉勞喊道。「把所有村民都叫到酋長小屋前集合，我們得好好慶祝一番。」
"Wait here while I tell everyone," says the basket carrier.	「你在這裡等一下，我去通知大家，」提籃子的人說道。
"Oh, Larry, I so hope you'll be able to convince my father, the Chief, that we should be married," says Kalalau. "Sometimes Daddy can have a strange sense of humor!"	「喔，賴瑞，我好希望你能說服我爸爸，也就是酋長，同意我們結婚，」卡拉勞說。「有時候爸爸的幽默感真的很奇怪！」
